DATES,T_PI,T_CI,m_PI,m_CI,APITR,ACITR,PITB,CITB,GOV,RGDP,DEBT,FF,PLEVEL,NBR,EMP,HperW,LF,CNDSV,CD,INR,"2006, frequenc"
1968.5,0.0000,0.0000,0.0000,0.0000,0.1691,0.3515,-15.2729,-17.2747,-14.4432,-15.2411,-16.1749,0.0594,3.0797,2.5596,-14.2979,0.6135,-14.2666,-15.2396,-16.0570,-15.8147,-15.6500
1968.75,0.0000,0.0000,0.0000,0.0000,0.1714,0.3554,-15.2705,-17.2772,-14.4535,-15.2410,-16.1923,0.0592,3.0907,2.5666,-14.2942,0.6096,-14.2632,-15.2372,-16.0671,-15.7896,-15.6299
1969,0.0000,0.0000,0.0000,0.0000,0.1805,0.3582,-15.2633,-17.2938,-14.4632,-15.2295,-16.2158,0.0657,3.1005,2.5456,-14.2878,0.6114,-14.2568,-15.2316,-16.0526,-15.7646,-15.6030
1969.25,0.0000,0.0000,0.0000,0.0000,0.1807,0.3587,-15.2562,-17.3444,-14.4834,-15.2307,-16.2415,0.0833,3.1132,2.5185,-14.2858,0.6082,-14.2538,-15.2277,-16.0594,-15.7580,-15.6028
1969.5,0.0000,0.0000,0.0000,0.0000,0.1740,0.3558,-15.2489,-17.3948,-14.4873,-15.2290,-16.2633,0.0898,3.1254,2.5450,-14.2869,0.6083,-14.2525,-15.2260,-16.0668,-15.7359,-15.5908
1969.75,0.0000,0.0000,0.0000,0.0000,0.1731,0.3732,-15.2489,-17.4725,-14.5190,-15.2382,-16.2831,0.0894,3.1369,2.5687,-14.2906,0.6050,-14.2580,-15.2208,-16.0752,-15.7465,-15.6210
1970,0.0000,0.0000,0.0000,0.0000,0.1704,0.3497,-15.2559,-17.5897,-14.5435,-15.2444,-16.2984,0.0857,3.1485,2.5782,-14.2957,0.5980,-14.2548,-15.2154,-16.0952,-15.7568,-15.6291
1970.25,0.0000,0.0000,0.0000,0.0000,0.1693,0.3337,-15.2597,-17.5612,-14.5798,-15.2471,-16.3023,0.0788,3.1595,2.5800,-14.3035,0.5942,-14.2576,-15.2166,-16.0883,-15.7668,-15.6561
1970.5,0.0000,0.0000,0.0000,0.0000,0.1611,0.3444,-15.2572,-17.5726,-14.5994,-15.2429,-16.2982,0.0670,3.1691,2.6281,-14.3114,0.5888,-14.2611,-15.2117,-16.0894,-15.7665,-15.6432
1970.75,0.0000,0.0000,0.0000,0.0000,0.1611,0.3459,-15.2700,-17.6420,-14.6096,-15.2583,-16.2960,0.0557,3.1820,2.6550,-14.3214,0.5891,-14.2640,-15.2086,-16.1628,-15.8091,-15.6470
1971,0.0000,-3.4826,0.0000,-2.6998,0.1575,0.3348,-15.2643,-17.5122,-14.6540,-15.2358,-16.2998,0.0386,3.1915,2.6727,-14.3216,0.5871,-14.2655,-15.2078,-16.0656,-15.8048,-15.6296
1971.25,0.0000,0.0000,0.0000,0.0000,0.1571,0.3359,-15.2632,-17.5066,-14.6732,-15.2348,-16.2942,0.0456,3.2028,2.6786,-14.3234,0.5871,-14.2678,-15.2056,-16.0478,-15.7947,-15.5937
1971.5,0.0000,0.0000,0.0000,0.0000,0.1564,0.3191,-15.2628,-17.4998,-14.6823,-15.2317,-16.2868,0.0547,3.2126,2.7032,-14.3283,0.5861,-14.2718,-15.2055,-16.0263,-15.7956,-15.5798
1971.75,0.0000,0.0000,0.0000,0.0000,0.1563,0.3106,-15.2579,-17.4758,-14.7185,-15.2337,-16.2802,0.0475,3.2188,2.7150,-14.3279,0.5862,-14.2704,-15.1981,-15.9893,-15.7792,-15.5576
1972,-0.4277,-1.5968,-0.1485,-0.8140,0.1709,0.3090,-15.2431,-17.4359,-14.7192,-15.2208,-16.2867,0.0354,3.2293,2.7332,-14.3241,0.5927,-14.2684,-15.1915,-15.9715,-15.7509,-15.5184
1972.25,0.0000,0.0000,0.0000,0.0000,0.1708,0.3059,-15.2360,-17.4302,-14.7081,-15.2021,-16.2776,0.0430,3.2351,2.7606,-14.3233,0.5913,-14.2691,-15.1783,-15.9514,-15.7392,-15.5057
